longitude,latitude,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-67.07693277,18.02119275,146,0.0728,0.1071,0.088,0.1604,0.3443,0.4118,0.4135,0.4435,0.3424,0.1887,0.7673899
-67.07693277,18.02119275,147,0.0609,0.0934,0.0936,0.1615,0.2894,0.335,0.3387,0.3735,0.3264,0.1827,0.568049261
-67.07693277,18.02119275,148,0.0846,0.1137,0.1192,0.1867,0.2881,0.3299,0.3409,0.3673,0.3327,0.2008,0.176948774
-67.07693277,18.02119275,149,0.067,0.1049,0.0983,0.1803,0.3033,0.3354,0.3367,0.375,0.3395,0.1969,0.203552411
-67.07693277,18.02119275,150,0.0811,0.1087,0.1096,0.1727,0.2708,0.3096,0.3238,0.3459,0.3321,0.205,0.237626124
-67.07693277,18.02119275,151,0.0667,0.1067,0.1144,0.1754,0.2749,0.3128,0.3166,0.3466,0.3363,0.1952,0.371361425
-67.07693277,18.02119275,152,0.0743,0.1066,0.0969,0.1641,0.3191,0.3765,0.3741,0.412,0.3211,0.1814,0.932836087
-67.07693277,18.02119275,153,0.0879,0.0961,0.0921,0.1327,0.2051,0.2358,0.2365,0.2537,0.1934,0.1108,0.063371979
-67.07693277,18.02119275,154,0.0905,0.1162,0.1242,0.1853,0.2693,0.3035,0.3103,0.3451,0.3792,0.238,0.175044872
-67.07693277,18.02119275,155,0.0562,0.0868,0.0602,0.1316,0.3188,0.3819,0.3726,0.4121,0.2659,0.1415,1.052555994
-67.07693277,18.02119275,156,0.051,0.0771,0.0777,0.1289,0.2062,0.2368,0.2412,0.2668,0.2471,0.1477,0.837952201
-67.07693277,18.02119275,157,0.0444,0.071,0.0618,0.117,0.2381,0.2786,0.2828,0.3029,0.2513,0.137,1.205436391
-67.07693277,18.02119275,158,0.0626,0.0927,0.0819,0.1473,0.2968,0.3441,0.3349,0.385,0.3096,0.1679,0.487322387
-88.16111114,31.85381082,159,0.0215,0.0479,0.0235,0.0759,0.2548,0.3185,0.3168,0.336,0.1296,0.0567,5.654902085
-88.16111114,31.85381082,160,0.0164,0.0389,0.0198,0.0685,0.2631,0.3294,0.3328,0.345,0.1308,0.0524,6.280874921
-88.16111114,31.85381082,161,0.0428,0.0491,0.0375,0.0728,0.2652,0.3366,0.3422,0.3654,0.1445,0.0617,6.274466506
-88.16111114,31.85381082,162,0.0277,0.0528,0.0241,0.0774,0.2865,0.364,0.358,0.3879,0.1224,0.0503,6.752210508
-88.16111114,31.85381082,163,0.0445,0.0623,0.0431,0.0818,0.2689,0.3503,0.3432,0.377,0.1513,0.0657,6.31313455
-88.16111114,31.85381082,164,0.0588,0.0702,0.0456,0.0827,0.2545,0.3326,0.3274,0.3712,0.154,0.069,6.541786318
-88.16111114,31.85381082,165,0.0291,0.0523,0.0268,0.0704,0.2284,0.2841,0.2843,0.3147,0.1317,0.0556,6.123524152
-88.16111114,31.85381082,166,0.053,0.0548,0.0385,0.076,0.2177,0.287,0.2776,0.3125,0.1366,0.0592,5.443579872
-88.16111114,31.85381082,167,0.0219,0.0383,0.0255,0.0603,0.1995,0.2384,0.245,0.2701,0.1214,0.0489,6.576671986
-88.16111114,31.85381082,168,0.0553,0.0697,0.0609,0.1595,0.2528,0.3013,0.2396,0.3221,0.2295,0.1529,4.846995092
-88.16111114,31.85381082,169,0.0194,0.0342,0.0182,0.0496,0.1544,0.1939,0.2083,0.2108,0.1072,0.0444,4.015704807
-88.16111114,31.85381082,170,0.0328,0.0529,0.0299,0.0714,0.2228,0.2629,0.2821,0.2843,0.1256,0.0583,4.061946438
-88.16111114,31.85381082,171,0.0152,0.0412,0.0214,0.0727,0.2444,0.2987,0.3061,0.3193,0.1161,0.0509,5.965200937
-88.16111114,31.85381082,172,0.0098,0.0365,0.0178,0.0676,0.2444,0.3039,0.3244,0.3352,0.1289,0.0543,5.221089124
-88.16111114,31.85381082,173,0.0335,0.0502,0.0285,0.0743,0.2323,0.2933,0.2868,0.3152,0.1327,0.0537,4.786990341
-88.16111114,31.85381082,174,0.0601,0.0695,0.0468,0.0767,0.2298,0.2959,0.2809,0.3264,0.1429,0.0606,6.009143584
-88.16111114,31.85381082,175,0.0599,0.0626,0.038,0.0731,0.2246,0.286,0.2758,0.3152,0.1381,0.0583,5.932565823
-88.16111114,31.85381082,176,0.0165,0.0226,0.0171,0.0407,0.1539,0.2013,0.2018,0.2206,0.0976,0.0388,5.587506326
-88.16111114,31.85381082,177,0.0111,0.0202,0.0137,0.039,0.1389,0.1822,0.1973,0.2128,0.0906,0.0372,4.889805708
-88.16111114,31.85381082,178,0.0411,0.0559,0.0424,0.0942,0.1944,0.2351,0.234,0.2668,0.1322,0.0733,4.986017988
-88.16111114,31.85381082,179,0.0267,0.0459,0.0324,0.0726,0.171,0.1964,0.2152,0.219,0.141,0.0746,2.272115805
-88.16111114,31.85381082,180,0.0245,0.0399,0.0201,0.0628,0.2444,0.3128,0.3173,0.3386,0.1246,0.0538,5.395835742
-88.16111114,31.85381082,181,0.0321,0.0469,0.025,0.0698,0.2475,0.3224,0.3236,0.346,0.1272,0.0536,5.787569074
-88.16111114,31.85381082,182,0.0318,0.0498,0.0271,0.0739,0.2747,0.3648,0.3528,0.3887,0.1419,0.0596,5.261419482
